eid,subject,lab,start_time
9daf1e80-3732-4285-a245-659550dd711a,CSP033,angelakilab,2022-01-12T12:26:22.770629
9dfddf18-f154-45ab-8e93-82c806da6ff6,CSP033,angelakilab,2022-01-18T10:47:44.327459
9e5f788b-affb-42a6-8565-f459bc188379,SH024,angelakilab,2021-08-10T11:44:14.442455
9f760d1d-969e-438d-b388-b3932249516f,SH020,angelakilab,2021-07-26T09:59:53.729012
9ff58f5f-ca47-4cd4-9919-f6971a928391,FMR030,angelakilab,2022-02-22T12:01:35.740732
a2003cda-f332-409d-8203-0ba7db35ba9b,CSP031,angelakilab,2022-01-14T10:41:03.371738
a2113640-0d58-4beb-927c-12a979641da7,FMR029,angelakilab,2021-09-08T10:53:53.591537
a232820b-3721-4d51-bc39-cb9fc99e7d98,FMR029,angelakilab,2021-08-24T09:39:05.022297
a2d0f428-25c7-45e7-81e9-abb1cfdde680,NYU-57,angelakilab,2021-10-07T10:39:29.464563
a5274716-17ec-4d54-9510-7345b92123e0,SH026,angelakilab,2022-01-11T12:17:07.437921
a52d0239-e578-4d59-a0d4-63858de3939d,FMR032,angelakilab,2022-02-22T13:58:56.533039
a552a3fc-aca8-4fcf-9128-69b733538de0,NYU-57,angelakilab,2021-09-28T11:56:25.601349
a7889073-0792-4846-8600-64e41774528c,FMR029,angelakilab,2021-08-26T09:46:19.497771
a81a0e48-6d64-458e-adea-986ee8e95aea,NYU-57,angelakilab,2021-10-05T10:16:45.311152
a831a67f-268d-43ff-bc34-d0c631051da1,FMR030,angelakilab,2022-02-11T11:11:14.819519
aaad4850-ddbd-4c16-80cf-f230c82655b6,SH026,angelakilab,2021-12-16T13:21:12.680846
ac27f91e-d539-4847-8916-76efbdbb7c86,SH026,angelakilab,2021-12-08T13:55:23.580264
ac5b0fca-81f3-4c0d-b959-a8edae295ec8,NYU-52,angelakilab,2021-07-21T11:00:24.400774
ac6c9313-077e-43c6-bcc4-79ee91bc9621,NYU-58,angelakilab,2021-10-12T11:18:23.091278
ad00a36f-8ff7-4c54-b832-f459cc6e5dfd,CSP031,angelakilab,2021-12-08T10:59:23.110469
ae2b1cae-f747-4b24-a052-b45eddef1357,NYU-57,angelakilab,2021-09-29T10:58:17.339022
ae580426-e0d1-4712-9581-804528888e82,SH024,angelakilab,2021-08-17T11:31:54.195446
af0b43ee-0bde-4cc3-a78f-18631e8b4816,CSP031,angelakilab,2021-12-06T13:13:41.195394
af2f0283-0abe-40a8-906e-1b0a528a021e,SH027,angelakilab,2021-12-16T13:22:29.478574
b06d80f9-e012-4e12-bb3d-5fa0dab3a481,FMR030,angelakilab,2022-01-25T14:56:29.887448
b111e1a0-7751-42fa-b2f7-31e06ad05369,SH026,angelakilab,2021-12-10T13:45:42.992173
b12544f8-a6ee-494c-b47f-d44d1d0197fb,SH025,angelakilab,2022-01-14T11:49:49.046084
b17d4836-654d-4a40-afc0-f3d21744ab45,NYU-57,angelakilab,2021-10-04T14:19:08.307863
b268b3e8-6c8e-4f94-8101-c2540e25c4a2,SH023,angelakilab,2021-08-25T11:04:44.114233
b2ae940c-836c-4683-81cf-dca57bdbe38b,SH023,angelakilab,2021-08-10T11:43:06.087425
b2c79a91-ab19-49a9-9e4e-11c8ac643705,NYU-58,angelakilab,2021-10-13T11:14:46.021446
b3940a72-7100-449b-a7a6-0b6f7a5c8272,CSP033,angelakilab,2022-01-25T11:24:03.273475
b3b52dca-249d-4c53-a2fe-c7647bb65b2f,NYU-52,angelakilab,2021-07-29T13:20:25.346071
b48f0b87-f8b5-4786-97c8-239c2d70b2b8,FMR032,angelakilab,2022-02-11T12:47:38.772836
ba3c05fa-80e6-45ac-bdbb-3a567dfd5216,SH026,angelakilab,2022-01-13T15:00:59.268665
bb09d92c-7968-479a-af67-0ffcddc7e847,FMR028,angelakilab,2021-07-28T10:28:46.077300
bc02b754-8c17-4a1d-9368-d3d642e9a423,SH022,angelakilab,2021-08-31T09:51:08.993654
bc85e9dd-20ce-4536-b713-ebdf2c31ca61,FMR030,angelakilab,2022-02-10T10:42:12.124885
